"Season","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO"
"2017","ATL","72","90","4.72","692","162","0","0","36","81","23","1441.1","6306","1463","821","756","192","584","39","70","58","5","1258"
"2012","BOS","69","93","4.72","651","162","6","2","35","76","22","1443.0","6209","1449","806","757","190","529","33","66","42","11","1176"
"2008","SEA","61","101","4.73","631","162","4","0","36","57","31","1435.1","6368","1544","811","754","161","626","37","53","60","5","1016"
"2000","DET","79","83","4.73","591","162","6","1","44","","","1443.1","6295","1583","827","759","177","496","22","47","51","5","978"
"2019","MIA","57","105","4.74","701","162","2","2","27","55","22","1444.1","6247","1340","808","760","236","615","52","90","71","6","1378"
"2006","CHC","66","96","4.74","704","162","2","1","29","68","17","1439.0","6366","1396","834","758","210","687","44","67","68","4","1250"
"2005","BOS","95","67","4.74","604","162","6","0","38","59","19","1429.0","6227","1550","805","753","164","440","28","89","56","4","959"
"2002","MIL","56","106","4.76","608","162","7","3","32","52","10","1432.1","6339","1468","821","757","199","666","82","62","64","8","1026"
"2000","NYY","87","74","4.76","543","161","9","2","40","","","1424.1","6256","1458","814","753","177","577","23","52","49","6","1040"
"2007","TEX","75","87","4.76","629","162","0","0","42","80","14","1430.0","6389","1525","844","756","155","668","38","70","66","4","976"
"2004","SEA","63","99","4.76","576","162","7","2","28","42","21","1459.1","6389","1498","823","772","212","575","32","72","45","7","1036"
"2003","BAL","71","91","4.76","588","163","9","1","41","66","21","1449.2","6366","1579","820","767","198","526","43","80","42","4","981"
"2018","MIA","63","98","4.76","707","161","1","0","30","80","22","1442.0","6236","1388","809","763","192","605","73","71","47","6","1249"
"2007","PHI","89","73","4.76","660","162","5","2","42","90","21","1458.1","6385","1555","821","772","198","558","62","72","46","3","1050"
"2012","MIN","66","96","4.77","661","162","3","1","35","63","14","1438.2","6214","1536","832","762","198","465","43","57","60","2","943"
"2008","COL","74","88","4.77","647","162","3","1","36","59","23","1446.0","6338","1547","822","766","148","562","49","53","61","7","1041"
